City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,polyarnyy,69.1989,33.4478,21.16,73,90,6.02,RU,1715119749
1,timimoun,29.2639,0.231,86.92,6,54,5.26,DZ,1715119749
2,perelyub,51.8667,50.3667,56.71,45,65,12.75,RU,1715119749
3,tiksi,71.6872,128.8694,29.48,98,100,9.37,RU,1715119749
4,waitangi,-43.9535,-176.5597,50.83,74,21,1.99,NZ,1715119749
5,papatowai,-46.5619,169.4708,48.18,90,99,14.0,NZ,1715119749
6,bovalino,38.149,16.174,68.34,61,100,6.31,IT,1715119749
7,constantia,44.1833,28.65,63.7,86,100,8.84,RO,1715119750
8,esquina,-30.0144,-59.5272,72.7,94,100,3.56,AR,1715119750
9,sarpol-e zahab,34.4611,45.8626,61.86,62,55,3.87,IR,1715119750
10,tazovsky,67.4667,78.7,12.09,95,96,9.51,RU,1715119750
11,kailua-kona,19.6406,-155.9956,82.36,76,40,9.22,US,1715119750
12,nyurba,63.2842,118.3319,30.94,89,51,12.28,RU,1715119750
13,north bend,43.4065,-124.2243,59.99,71,40,14.97,US,1715119750
14,port blair,11.6667,92.75,83.44,73,82,1.68,IN,1715119750
15,blackmans bay,-43.0167,147.3167,51.73,92,100,3.83,AU,1715119750
16,bredasdorp,-34.5322,20.0403,60.17,85,100,3.29,ZA,1715119750
17,puerto ayora,-0.7393,-90.3518,84.16,93,79,8.86,EC,1715119751
18,muynoq,43.7683,59.0214,70.88,58,100,19.17,UZ,1715119751
19,talnakh,69.4865,88.3972,5.2,96,94,5.66,RU,1715119751
20,turpan,42.9333,89.1667,81.28,29,100,1.14,CN,1715119751
21,malakanagiri,18.35,81.9,78.49,72,99,5.59,IN,1715119751
22,ust-nera,64.5667,143.2,34.83,83,100,4.45,RU,1715119751
23,anadyr,64.75,177.4833,19.9,67,75,8.95,RU,1715119638
24,bethel,41.3712,-73.414,79.63,25,0,6.91,US,1715119598
25,koryazhma,61.3143,47.1691,30.9,59,73,7.27,RU,1715119751
26,thompson,55.7435,-97.8558,59.56,39,11,14.76,CA,1715119751
27,port alfred,-33.5906,26.891,67.17,94,57,5.99,ZA,1715119751
28,goure,13.9835,10.2704,91.33,10,98,6.15,NE,1715119752
29,mount gambier,-37.8333,140.7667,46.24,96,9,4.61,AU,1715119752
30,fort bragg,35.139,-79.006,87.91,52,75,12.66,US,1715119752
31,ilulissat,69.2167,-51.1,24.82,74,100,3.44,GL,1715119752
32,nemuro,43.3236,145.575,37.15,89,100,19.24,JP,1715119752
33,happy valley-goose bay,53.3168,-60.3315,39.29,75,98,12.33,CA,1715119752
34,port-aux-francais,-49.35,70.2167,40.44,72,12,34.23,TF,1715119752
35,minas de marcona,-15.2119,-75.1103,60.62,79,75,18.25,PE,1715119752
36,ambon,-3.6954,128.1814,81.88,95,40,3.44,ID,1715119752
37,natal,-5.795,-35.2094,82.62,83,20,4.61,BR,1715119525
38,avarua,-21.2078,-159.775,84.25,89,75,9.22,CK,1715119460
39,adamstown,-25.066,-130.1015,71.28,78,57,8.95,PN,1715119753
40,aasiaat,68.7098,-52.8699,24.76,93,100,5.55,GL,1715119753
41,nantucket,41.2835,-70.0995,61.09,87,100,6.91,US,1715119753
42,saint-pierre,-21.3393,55.4781,73.08,53,0,6.91,RE,1715119611
43,el porvenir,13.7617,-87.3458,92.53,39,18,9.51,HN,1715119753
44,saudarkrokur,65.7461,-19.6394,40.5,73,100,9.06,IS,1715119753
45,lipsko,51.3396,12.3713,51.01,89,0,3.44,DE,1715119753
46,albany,42.6001,-73.9662,75.88,35,44,6.96,US,1715119500
47,walvis bay,-22.9575,14.5053,59.09,78,0,11.1,NA,1715119754
48,dongola,19.1667,30.4833,78.31,16,0,11.14,SD,1715119754
49,wailua homesteads,22.0669,-159.378,81.03,74,20,14.97,US,1715119754
50,shagonar,51.5333,92.8,46.98,51,100,0.29,RU,1715119754
51,college,64.8569,-147.8028,52.12,55,75,1.01,US,1715119754
52,ageyevo,54.1588,36.4693,32.27,93,69,8.68,RU,1715119754
53,belokurikha,51.9959,84.9896,52.66,72,100,3.89,RU,1715119754
54,mont-dore,-22.2833,166.5833,75.18,99,65,7.9,NC,1715119754
55,siwa oasis,29.2041,25.5195,74.19,25,44,6.67,EG,1715119755
56,stettler,52.3168,-112.7186,40.75,97,100,25.84,CA,1715119755
57,invercargill,-46.4,168.35,47.01,95,100,7.0,NZ,1715119585
58,hasaki,35.7333,140.8333,64.8,89,100,6.24,JP,1715119755
59,qaqortoq,60.7167,-46.0333,33.17,61,87,1.32,GL,1715119755
60,lihue,21.9789,-159.3672,81.64,67,20,14.97,US,1715119755
61,stanley,54.868,-1.6985,46.42,93,0,3.44,GB,1715119755
62,lander,42.833,-108.7307,54.1,28,20,21.85,US,1715119683
63,plastun,44.7561,136.2939,38.48,77,49,2.26,RU,1715119755
64,kerikeri,-35.2268,173.9474,60.91,80,33,11.01,NZ,1715119755
65,puerto natales,-51.7236,-72.4875,30.7,88,100,1.95,CL,1715119755
66,cooma,-36.2333,149.1333,45.84,90,3,0.22,AU,1715119756
67,grytviken,-54.2811,-36.5092,27.64,76,29,9.26,GS,1715119756
68,ghat,24.9647,10.1728,92.95,16,99,14.32,LY,1715119756
69,zeya,53.75,127.2667,53.49,50,81,4.68,RU,1715119756
70,isafjordur,66.0755,-23.124,37.44,87,100,2.3,IS,1715119756
71,iqaluit,63.7506,-68.5145,32.7,55,43,11.01,CA,1715119746
72,colonia,50.9333,6.95,58.77,88,78,3.4,DE,1715119504
73,hawaiian paradise park,19.5933,-154.9731,77.88,81,100,6.91,US,1715119756
74,saynshand,44.8824,110.1163,63.77,20,49,9.64,MN,1715119757
75,fort mcmurray,56.7268,-111.381,51.31,87,100,11.5,CA,1715119757
76,isangel,-19.55,169.2667,75.63,72,11,14.32,VU,1715119668
77,madingou,-4.1536,13.55,78.62,87,77,2.59,CG,1715119757
78,hamilton,39.1834,-84.5333,78.75,81,100,13.8,US,1715119668
79,haiku-pauwela,20.9219,-156.3051,79.21,72,40,21.85,US,1715119757
80,georgetown,5.4112,100.3354,80.53,94,20,2.3,MY,1715119757
81,whitehorse,60.7161,-135.0538,46.02,42,82,15.99,CA,1715119757
82,edinburgh of the seven seas,-37.0676,-12.3116,62.26,78,100,44.31,SH,1715119757
83,hithadhoo,-0.6,73.0833,84.27,79,87,11.63,MV,1715119758
84,tura,25.5198,90.2201,70.99,79,100,3.96,IN,1715119758
85,pariaman,-0.619,100.12,78.85,93,100,8.63,ID,1715119758
86,badger,64.8,-147.5333,52.05,53,75,3.0,US,1715119758
87,awjilah,29.1081,21.2869,75.9,22,64,8.5,LY,1715119758
88,alice springs,-23.7,133.8833,53.15,82,89,0.0,AU,1715119758
89,ribeira grande,38.5167,-28.7,66.6,88,75,15.01,PT,1715119758
90,hirara,24.8,125.2833,76.46,66,9,14.25,JP,1715119758
91,raja,8.4596,25.678,85.08,29,53,2.64,SS,1715119758
92,yetkul',54.8221,61.588,46.04,55,74,13.53,RU,1715119758
93,utrik,11.2278,169.8474,82.36,73,100,18.3,MH,1715119759
94,nova vicosa,-17.8919,-39.3719,77.61,83,0,5.35,BR,1715119759
95,amga,60.8953,131.9608,42.62,76,100,6.96,RU,1715119759
96,alofi,-19.0595,-169.9187,80.49,94,100,8.05,NU,1715119759
97,sao gabriel da cachoeira,-0.1303,-67.0892,79.63,90,69,1.9,BR,1715119759
98,ad dabbah,18.05,30.95,79.77,15,2,11.36,SD,1715119759
99,yellowknife,62.456,-114.3525,54.12,78,100,16.11,CA,1715119591
100,vila velha,-20.3297,-40.2925,76.95,88,0,4.61,BR,1715119690
101,neftegorsk,52.802,51.166,62.38,49,24,18.12,RU,1715119759
102,ta`u,-14.2336,-169.5144,84.16,81,88,11.03,AS,1715119759
103,cill airne,52.05,-9.5167,51.84,87,100,3.09,IE,1715119759
104,port lincoln,-34.7333,135.8667,59.16,86,86,10.49,AU,1715119760
105,palikir - national government center,6.9248,158.1611,85.05,79,75,11.5,FM,1715119760
106,novobod,39.0108,70.1508,52.39,41,48,6.85,TJ,1715119760
107,belmonte,-15.8631,-38.8828,77.85,84,17,6.22,BR,1715119760
108,petropavlovsk-kamchatsky,53.0452,158.6483,34.39,78,100,8.01,RU,1715119600
109,port augusta,-32.5,137.7667,57.79,59,80,4.76,AU,1715119760
110,minab,27.1467,57.0801,86.61,38,0,3.29,IR,1715119760
111,west island,-12.1568,96.8225,80.58,78,1,11.5,CC,1715119760
112,aketi,2.7388,23.7833,81.07,61,98,1.92,CD,1715119760
